central_point_id	element	refnumber	x	y	z	intensity_real	intensity_imag
5725	Li	5	2.90500000E+01	1.24500000E+01	7.47000000E+01	-5.31014684E+00	-4.63546335E-17
5727	Li	6	2.90500000E+01	1.45250000E+01	8.09250000E+01	1.06421532E+00	-3.81750745E-16
5728	Li	8	3.11250000E+01	1.24500000E+01	8.09250000E+01	-1.17140111E+01	6.49915565E-16
5729	Li	6	2.90500000E+01	1.86750000E+01	2.07500000E+00	-3.60430617E+00	-3.88573164E-17
5731	Li	6	2.90500000E+01	1.86750000E+01	6.22500000E+00	-1.48160221E+01	-3.88573164E-17
5732	Li	7	3.11250000E+01	1.86750000E+01	4.15000000E+00	-1.16157836E+01	-9.61368668E-17
5735	Li	7	3.11250000E+01	1.86750000E+01	8.30000000E+00	-7.96000941E+00	-9.61368668E-17
5736	Li	5	2.90500000E+01	1.66000000E+01	1.24500000E+01	-7.01539302E+00	7.61272082E-16
5737	Li	6	2.90500000E+01	1.86750000E+01	1.45250000E+01	-5.99155995E+00	-3.88573164E-17
5739	Li	7	3.11250000E+01	1.86750000E+01	2.07500000E+01	-7.82161108E-01	-9.61368668E-17
5741	Li	7	3.11250000E+01	1.86750000E+01	2.49000000E+01	-8.42075938E+00	-9.61368668E-17
5742	Li	5	2.90500000E+01	1.66000000E+01	2.90500000E+01	-1.33776964E+01	7.61272082E-16
5744	Li	8	3.11250000E+01	1.66000000E+01	3.52750000E+01	-1.59639471E+01	-4.91092108E-17
5745	Li	5	2.90500000E+01	1.66000000E+01	3.73500000E+01	-1.23806322E+01	7.61272082E-16
5746	Li	6	2.90500000E+01	1.86750000E+01	4.35750000E+01	-8.22726273E+00	-3.88573164E-17
5747	Li	6	2.90500000E+01	1.86750000E+01	4.77250000E+01	-7.74988428E+00	-3.88573164E-17
5748	Li	7	3.11250000E+01	1.86750000E+01	4.56500000E+01	-8.41187804E+00	-9.61368668E-17
5750	Li	5	2.90500000E+01	1.66000000E+01	4.98000000E+01	-3.77295502E+00	7.61272082E-16
5751	Li	6	2.90500000E+01	1.86750000E+01	5.18750000E+01	2.61788852E+00	-3.88573164E-17
5752	Li	5	2.90500000E+01	1.66000000E+01	5.39500000E+01	-1.37441340E+01	7.61272082E-16
5753	Li	7	3.11250000E+01	1.86750000E+01	5.39500000E+01	4.85710861E+00	-9.61368668E-17
5754	Li	5	2.90500000E+01	1.66000000E+01	5.81000000E+01	-2.32664007E+00	7.61272082E-16
5755	Li	6	2.90500000E+01	1.86750000E+01	6.43250000E+01	-1.00312225E+01	-3.88573164E-17
5757	Li	8	3.11250000E+01	1.66000000E+01	6.43250000E+01	-1.93031969E+01	-4.91092108E-17
5761	Li	5	2.90500000E+01	1.66000000E+01	7.47000000E+01	4.44564671E+00	7.61272082E-16
5764	Li	7	3.11250000E+01	2.28250000E+01	0.00000000E+00	-1.27903674E+01	1.46038527E-16
5765	Li	6	2.90500000E+01	2.28250000E+01	6.22500000E+00	4.45700149E+00	1.81391272E-16
5766	Li	7	3.11250000E+01	2.28250000E+01	4.15000000E+00	-1.98186365E+01	1.46038527E-16
5767	Li	5	2.90500000E+01	2.07500000E+01	8.30000000E+00	-1.45032475E+01	-2.78761401E-16
5769	Li	5	2.90500000E+01	2.07500000E+01	1.24500000E+01	-1.01028782E+01	-2.78761401E-16
5770	Li	7	3.11250000E+01	2.28250000E+01	1.24500000E+01	-1.16823013E+01	1.46038527E-16
5771	Li	8	3.11250000E+01	2.07500000E+01	1.45250000E+01	-9.70583697E+00	-6.78359556E-17
5772	Li	6	2.90500000E+01	2.28250000E+01	1.86750000E+01	-7.29168592E+00	1.81391272E-16
5773	Li	8	3.11250000E+01	2.07500000E+01	1.86750000E+01	-1.46197547E+01	-6.78359556E-17
5778	Li	8	3.11250000E+01	2.07500000E+01	2.69750000E+01	-8.18250234E+00	-6.78359556E-17
5779	Li	5	2.90500000E+01	2.07500000E+01	2.90500000E+01	-1.13460168E+01	-2.78761401E-16
5780	Li	8	3.11250000E+01	2.07500000E+01	3.11250000E+01	-1.98457937E+00	-6.78359556E-17
5781	Li	5	2.90500000E+01	2.07500000E+01	3.32000000E+01	-2.17498128E+00	-2.78761401E-16
5782	Li	8	3.11250000E+01	2.07500000E+01	3.52750000E+01	-1.12582427E+01	-6.78359556E-17
5783	Li	6	2.90500000E+01	2.28250000E+01	3.94250000E+01	-7.52480630E+00	1.81391272E-16
5784	Li	5	2.90500000E+01	2.07500000E+01	4.15000000E+01	-7.34486005E+00	-2.78761401E-16
5785	Li	7	3.11250000E+01	2.28250000E+01	4.15000000E+01	-8.05119920E+00	1.46038527E-16
5787	Li	6	2.90500000E+01	2.28250000E+01	4.77250000E+01	-8.53476782E+00	1.81391272E-16
5790	Li	7	3.11250000E+01	2.28250000E+01	4.98000000E+01	-1.20796615E+01	1.46038527E-16
5791	Li	6	2.90500000E+01	2.28250000E+01	5.60250000E+01	-2.18531102E+00	1.81391272E-16
5792	Li	6	2.90500000E+01	2.28250000E+01	6.01750000E+01	-5.60277475E+00	1.81391272E-16
5793	Li	8	3.11250000E+01	2.07500000E+01	6.01750000E+01	-2.92328051E+00	-6.78359556E-17
5794	Li	5	2.90500000E+01	2.07500000E+01	6.22500000E+01	-5.83429138E+00	-2.78761401E-16
5796	Li	6	2.90500000E+01	2.28250000E+01	6.84750000E+01	-1.39336336E+01	1.81391272E-16
5797	Li	5	2.90500000E+01	2.07500000E+01	7.05500000E+01	-3.42609690E+00	-2.78761401E-16
5799	Li	5	2.90500000E+01	2.07500000E+01	7.47000000E+01	2.64559763E+00	-2.78761401E-16
5800	Li	7	3.11250000E+01	2.28250000E+01	7.47000000E+01	-4.20196127E+00	1.46038527E-16
5801	Li	6	2.90500000E+01	2.28250000E+01	8.09250000E+01	-3.29900707E+00	1.81391272E-16
5802	Li	7	3.11250000E+01	2.69750000E+01	0.00000000E+00	5.38783390E+00	-1.03471945E-15
5803	Li	8	3.11250000E+01	2.49000000E+01	2.07500000E+00	-4.50086080E-01	1.68808567E-15
5805	Li	7	3.11250000E+01	2.69750000E+01	4.15000000E+00	-7.48525008E-01	-1.03471945E-15
5806	Li	6	2.90500000E+01	2.69750000E+01	1.03750000E+01	5.15944002E+00	-1.55659577E-17
5807	Li	7	3.11250000E+01	2.69750000E+01	8.30000000E+00	-1.79245064E+01	-1.03471945E-15
5808	Li	8	3.11250000E+01	2.49000000E+01	1.03750000E+01	-4.18190969E+00	1.68808567E-15
5809	Li	5	2.90500000E+01	2.49000000E+01	1.24500000E+01	-7.34593078E+00	-1.28531467E-15
5810	Li	5	2.90500000E+01	2.49000000E+01	1.66000000E+01	-7.76846306E+00	-1.28531467E-15
5811	Li	8	3.11250000E+01	2.49000000E+01	1.86750000E+01	5.19593105E-01	1.68808567E-15
5812	Li	6	2.90500000E+01	2.69750000E+01	2.28250000E+01	-3.28312534E+00	-1.55659577E-17
5813	Li	7	3.11250000E+01	2.69750000E+01	2.07500000E+01	-3.93447811E+00	-1.03471945E-15
5814	Li	8	3.11250000E+01	2.49000000E+01	2.28250000E+01	-5.15871954E+00	1.68808567E-15
5816	Li	6	2.90500000E+01	2.69750000E+01	2.69750000E+01	-6.59423796E+00	-1.55659577E-17
5817	Li	7	3.11250000E+01	2.69750000E+01	2.90500000E+01	-3.08727308E+00	-1.03471945E-15
5818	Li	8	3.11250000E+01	2.49000000E+01	3.11250000E+01	-9.87415747E+00	1.68808567E-15
5821	Li	5	2.90500000E+01	2.49000000E+01	3.73500000E+01	-6.94226631E+00	-1.28531467E-15
5825	Li	7	3.11250000E+01	2.69750000E+01	4.15000000E+01	-9.65268161E+00	-1.03471945E-15
5826	Li	8	3.11250000E+01	2.49000000E+01	4.35750000E+01	6.66523851E-01	1.68808567E-15
5827	Li	6	2.90500000E+01	2.69750000E+01	4.77250000E+01	-1.48584147E+01	-1.55659577E-17
5828	Li	7	3.11250000E+01	2.69750000E+01	4.56500000E+01	-2.03963823E+00	-1.03471945E-15
5830	Li	6	2.90500000E+01	2.69750000E+01	6.01750000E+01	-5.55007389E+00	-1.55659577E-17
5832	Li	6	2.90500000E+01	2.69750000E+01	6.43250000E+01	-9.59775508E+00	-1.55659577E-17
5838	Li	6	2.90500000E+01	2.69750000E+01	7.67750000E+01	7.20392661E+00	-1.55659577E-17
5841	Li	7	3.11250000E+01	2.69750000E+01	7.88500000E+01	-7.02141876E-01	-1.03471945E-15
5842	Li	8	3.11250000E+01	2.49000000E+01	8.09250000E+01	-4.52631223E-02	1.68808567E-15
5843	Li	7	3.11250000E+01	3.11250000E+01	0.00000000E+00	-5.56063418E+00	2.93563931E-15
5844	Li	5	2.90500000E+01	2.90500000E+01	4.15000000E+00	-6.38774694E+00	2.40479775E-15
5845	Li	7	3.11250000E+01	3.11250000E+01	4.15000000E+00	-7.07496707E+00	2.93563931E-15
5846	Li	6	2.90500000E+01	3.11250000E+01	1.03750000E+01	-1.14959675E+01	-8.79285228E-16
5847	Li	7	3.11250000E+01	3.11250000E+01	8.30000000E+00	-9.09874627E+00	2.93563931E-15
5849	Li	7	3.11250000E+01	3.11250000E+01	1.66000000E+01	-1.30881930E+01	2.93563931E-15
5850	Li	8	3.11250000E+01	2.90500000E+01	1.86750000E+01	2.77906609E-01	-2.89707894E-15
5852	Li	7	3.11250000E+01	3.11250000E+01	2.07500000E+01	-9.65806719E+00	2.93563931E-15
5853	Li	5	2.90500000E+01	2.90500000E+01	2.49000000E+01	-9.91072529E+00	2.40479775E-15
5855	Li	7	3.11250000E+01	3.11250000E+01	2.49000000E+01	-5.92358816E+00	2.93563931E-15
5857	Li	6	2.90500000E+01	3.11250000E+01	3.94250000E+01	-1.27824318E+01	-8.79285228E-16
5859	Li	8	3.11250000E+01	2.90500000E+01	4.35750000E+01	-6.63007115E+00	-2.89707894E-15
5860	Li	5	2.90500000E+01	2.90500000E+01	4.56500000E+01	-1.30318468E+01	2.40479775E-15
5861	Li	7	3.11250000E+01	3.11250000E+01	4.56500000E+01	-2.62182838E+00	2.93563931E-15
5862	Li	5	2.90500000E+01	2.90500000E+01	4.98000000E+01	-5.28754820E+00	2.40479775E-15
5863	Li	7	3.11250000E+01	3.11250000E+01	4.98000000E+01	-3.39611952E+00	2.93563931E-15
5864	Li	8	3.11250000E+01	2.90500000E+01	5.18750000E+01	-2.46720413E+00	-2.89707894E-15
5865	Li	7	3.11250000E+01	3.11250000E+01	5.39500000E+01	-1.18224281E+01	2.93563931E-15
5866	Li	8	3.11250000E+01	2.90500000E+01	5.60250000E+01	-5.75728557E+00	-2.89707894E-15
5868	Li	7	3.11250000E+01	3.11250000E+01	6.22500000E+01	-1.46524496E+01	2.93563931E-15
5869	Li	6	2.90500000E+01	3.11250000E+01	7.67750000E+01	-6.98518772E-01	-8.79285228E-16
5872	Li	8	3.11250000E+01	3.32000000E+01	2.07500000E+00	-1.40454740E+01	5.51240307E-16
5873	Li	6	2.90500000E+01	3.52750000E+01	6.22500000E+00	-1.54577147E+01	2.81360970E-16
5875	Li	5	2.90500000E+01	3.32000000E+01	8.30000000E+00	8.73136446E-01	-1.41678152E-15
5878	Li	6	2.90500000E+01	3.52750000E+01	1.45250000E+01	-6.64017162E-01	2.81360970E-16
5879	Li	7	3.11250000E+01	3.52750000E+01	1.24500000E+01	-6.44955810E+00	-1.72652466E-15
5880	Li	5	2.90500000E+01	3.32000000E+01	1.66000000E+01	-1.88832433E+01	-1.41678152E-15
5881	Li	8	3.11250000E+01	3.32000000E+01	1.86750000E+01	7.65901656E+00	5.51240307E-16
5882	Li	5	2.90500000E+01	3.32000000E+01	2.07500000E+01	-9.47756132E+00	-1.41678152E-15
5883	Li	6	2.90500000E+01	3.52750000E+01	2.28250000E+01	-8.12241134E+00	2.81360970E-16
5885	Li	6	2.90500000E+01	3.52750000E+01	2.69750000E+01	-3.79589423E+00	2.81360970E-16
5886	Li	6	2.90500000E+01	3.52750000E+01	3.11250000E+01	-1.13937530E+01	2.81360970E-16
5887	Li	8	3.11250000E+01	3.32000000E+01	3.11250000E+01	-7.75414245E+00	5.51240307E-16
5889	Li	6	2.90500000E+01	3.52750000E+01	3.52750000E+01	-3.86258949E+00	2.81360970E-16
5890	Li	8	3.11250000E+01	3.32000000E+01	3.52750000E+01	-1.11646713E+01	5.51240307E-16
5891	Li	6	2.90500000E+01	3.52750000E+01	3.94250000E+01	-6.03484020E-01	2.81360970E-16
5892	Li	8	3.11250000E+01	3.32000000E+01	3.94250000E+01	-1.71519787E+00	5.51240307E-16
5894	Li	6	2.90500000E+01	3.52750000E+01	4.35750000E+01	-1.21308295E+00	2.81360970E-16
5896	Li	5	2.90500000E+01	3.32000000E+01	4.56500000E+01	-4.94830583E+00	-1.41678152E-15
5897	Li	5	2.90500000E+01	3.32000000E+01	4.98000000E+01	-1.19524694E+01	-1.41678152E-15
5898	Li	7	3.11250000E+01	3.52750000E+01	4.98000000E+01	-1.13000308E+00	-1.72652466E-15
5899	Li	5	2.90500000E+01	3.32000000E+01	5.39500000E+01	-4.72815075E+00	-1.41678152E-15
5901	Li	5	2.90500000E+01	3.32000000E+01	5.81000000E+01	-3.55555723E+00	-1.41678152E-15
5902	Li	8	3.11250000E+01	3.32000000E+01	6.01750000E+01	-1.94343708E+01	5.51240307E-16
